job_id,equipment_type,service_type,region,technician_level,urgency,equipment_age_years,estimated_hours,distance_km,parts_count,ambient_temp_c,prior_failures,job_cost
JOB-100238,Pump,,North,Mid,Routine,3.436,4.135,14.212,1,32.291,1,6534.12
JOB-100239,Pump,Repair,North,Junior,Priority,1.754,5.714,12.702,2,30.041,0,6199.56
JOB-100240,Valve,Overhaul,West,Mid,Priority,16.948,5.706,16.256,3,34.108,1,9195.2
JOB-100241,Motor,Repair,South,Senior,Priority,,12.356,11.634,1,33.942,5,8559.09
JOB-100242,Compressor,Repair,South,Mid,Priority,2.621,18.088,37.525,,36.314,0,10398.46
JOB-100243,Valve,Repair,East,Senior,Emergency,4.726,2.455,18.637,3,22.473,0,9097.48
JOB-100244,Valve,Inspection,North,Junior,Priority,3.421,3.899,17.401,3,26.555,1,5822.04
JOB-100245,Pump,Overhaul,West,Mid,Routine,4.364,9.087,17.57,4,37.402,2,9977.32
JOB-100246,Motor,Inspection,South,Mid,Priority,8.11,4.674,26.723,1,,1,5077.46
JOB-100247,Valve,Overhaul,West,Junior,Priority,5.12,3.186,12.877,5,33.507,2,9480.28
JOB-100248,Pump,Repair,West,Mid,Routine,7.833,9.889,50.161,3,25.923,3,9865.07
JOB-100249,Pump,Preventive,West,Junior,Routine,5.325,3.951,25.945,2,33.327,4,5956.85
JOB-100250,Pump,Repair,South,Mid,Routine,8.525,1.844,25.198,4,29.033,0,7171.89
JOB-100251,Pump,Repair,West,Junior,Emergency,7.391,14.646,20.309,2,38.43,,9034.92
JOB-100252,Motor,Preventive,South,Mid,Priority,3.179,11.913,35.35,3,24.36,0,8783.14
JOB-100253,Pump,Repair,South,Mid,Routine,10.38,8.754,35.348,2,39.94,0,8218.67
JOB-100254,Pump,Preventive,East,Junior,Routine,20.389,5.892,12.358,1,18.14,0,6386.71
JOB-100255,Compressor,Repair,South,Mid,Routine,18.021,3.051,33.768,3,27.279,2,8186.02
JOB-100256,Pump,Inspection,West,Mid,Routine,14.482,6.283,49.543,1,23.931,4,6990.22
JOB-100257,Pump,Repair,North,Senior,Priority,,,31.912,0,39.976,2,8876.34
JOB-100258,Heat Exchanger,Inspection,South,Mid,Emergency,4.857,4.46,28.565,3,13.438,1,7574.59
JOB-100259,Motor,Repair,North,Mid,Routine,14.753,13.162,5.09,0,29.6,2,7881.26
JOB-100260,Valve,Repair,North,Senior,Routine,12.581,2.779,16.595,0,42.877,1,5827.06
JOB-100261,Compressor,Repair,East,Mid,Routine,7.229,1.615,27.794,3,32.441,1,7846.67
JOB-100262,Valve,Overhaul,East,Mid,Routine,4.306,0.921,33.665,0,18.892,1,6557.68
JOB-100263,Motor,Repair,,Junior,Routine,5.368,,14.056,3,32.601,1,8235.11
JOB-100264,Compressor,Inspection,East,,Routine,7.939,2.953,17.217,3,27.463,1,5493.26
JOB-100265,Pump,Inspection,South,Junior,Priority,9.878,5.001,22.901,1,23.811,1,5212.77
JOB-100266,Compressor,,North,Junior,Priority,7.312,9.218,19.364,2,25.638,1,6727.32
JOB-100267,Pump,Inspection,South,Mid,Routine,12.296,3.492,38.958,2,30.992,,5515.12
JOB-100268,Pump,Repair,East,Junior,Routine,11.83,3.696,20.234,1,28.996,2,6714.66
JOB-100269,Valve,Repair,,Senior,Routine,6.197,3.45,13.89,2,19.069,1,5760.95
JOB-100270,Compressor,Inspection,South,Senior,Routine,9.086,8.022,50.643,1,34.176,1,8512.28
JOB-100271,Valve,Repair,West,Senior,Routine,4.767,3.335,14.293,2,36.925,0,5299.23
JOB-100272,Compressor,,East,Senior,Routine,2.851,4.935,,2,35.99,2,6112.27
JOB-100273,Motor,Repair,South,Mid,Routine,13.954,,23.115,5,,3,10073.73
JOB-100274,,Repair,,Mid,Emergency,6.923,6.319,16.051,3,31.278,3,9349.02
JOB-100275,Pump,Inspection,South,Mid,Routine,8.888,5.927,23.235,,33.773,1,4672.1
JOB-100276,Valve,Repair,East,Junior,Priority,25.0,1.859,17.048,3,35.745,2,7390.4
