machine_id,machine_type,plant_section,shift,maintenance_plan,temperature_c,vibration_mm_s,pressure_bar,operating_hours,days_since_service,load_percent,alarm_count_30d,critical_failure_30d
M-200036,Fan,Storage,Evening,Enhanced,75.163,1.5806,6.024,4368.16,17.82,56.263,0,0
M-200037,Fan,Process-B,Evening,Standard,72.315,1.3541,7.952,2348.64,80.18,75.507,1,0
M-200038,Fan,Process-A,Day,Minimal,49.046,2.6683,4.122,1396.33,56.99,61.245,4,0
M-200039,,Process-A,Evening,,55.731,1.855,6.176,4630.59,38.63,61.977,1,0
M-200040,Pump,Storage,Day,Standard,48.477,1.4433,4.179,1962.57,38.2,,2,0
M-200041,Compressor,Process-B,Day,,,1.8346,3.392,2890.63,63.86,73.845,2,0
M-200042,Fan,Process-B,Night,Minimal,56.233,1.6056,4.642,4292.21,57.0,66.869,2,0
M-200043,Compressor,Packaging,Evening,Standard,65.464,1.9859,6.232,4009.75,58.1,68.455,1,0
M-200044,Motor,Packaging,Night,Standard,54.069,1.4603,4.134,3509.46,77.64,80.989,2,0
M-200045,Compressor,Process-B,Evening,Standard,75.633,2.7162,6.96,2014.04,166.67,80.32,2,1
M-200046,Fan,Process-A,Day,Standard,60.222,2.0038,6.368,4048.04,,93.039,3,0
M-200047,Compressor,Process-A,Evening,Enhanced,76.233,4.043,4.845,1584.92,83.0,63.131,1,0
M-200048,Pump,Packaging,Evening,Enhanced,55.938,1.4618,5.818,4477.02,109.88,84.422,0,0
M-200049,Pump,Utilities,Night,Enhanced,44.731,0.9714,9.318,,131.05,55.327,2,0
M-200050,Fan,Packaging,Night,Standard,57.637,0.9402,6.161,1163.09,229.87,62.228,0,0
M-200051,Fan,Utilities,Day,Standard,70.175,1.1208,6.134,3919.02,132.33,69.403,0,0
M-200052,Compressor,Process-A,Night,Enhanced,78.214,1.0706,9.189,3611.25,78.25,105.212,1,0
M-200053,Compressor,Utilities,Day,Enhanced,51.486,1.0159,7.41,,,105.927,2,0
M-200054,Pump,Storage,Night,Standard,,2.1905,5.97,2436.55,50.78,61.579,1,0
M-200055,Compressor,Process-A,Night,Standard,83.101,1.4521,4.705,3345.9,18.21,79.866,,0
M-200056,Pump,Packaging,Day,Standard,65.75,1.6205,7.998,2925.79,78.62,84.547,5,0
M-200057,Fan,,Evening,Enhanced,69.263,2.4068,7.043,3858.56,24.16,87.856,5,0
M-200058,Compressor,Packaging,Night,Enhanced,,2.7131,5.11,,92.36,65.617,1,0
M-200059,Pump,Process-A,,Enhanced,81.973,1.6354,5.373,6238.29,47.32,,1,0
M-200060,Motor,Utilities,Day,Standard,68.498,2.0566,8.324,,133.33,75.342,3,0
M-200061,Fan,Process-A,Day,Standard,77.148,1.3116,7.0,1498.35,64.14,80.513,0,0
M-200062,Compressor,Process-A,Evening,Standard,65.062,1.0563,3.106,7325.59,178.4,71.431,2,1
M-200063,Fan,Process-B,Night,Enhanced,75.387,3.2665,3.637,1033.96,41.39,94.694,1,0
M-200064,Compressor,Utilities,Day,Minimal,57.156,,8.766,5475.46,36.89,59.958,1,0
M-200065,Compressor,Process-A,Night,Standard,66.903,1.8128,7.844,3251.25,196.25,64.363,2,1
M-200066,Motor,Packaging,Night,Standard,63.166,3.4333,6.566,5174.45,155.1,60.972,1,0
M-200067,Fan,Process-B,Night,Minimal,54.484,1.9924,,3832.85,51.21,72.345,0,0
M-200068,Pump,Storage,Evening,Standard,,1.2142,7.102,4932.82,196.62,97.814,1,0
M-200069,Compressor,Packaging,Evening,Standard,67.694,2.4877,4.827,4986.91,70.25,68.617,1,0
M-200070,Motor,Process-A,Day,Standard,67.051,1.257,6.839,7984.92,186.59,77.63,1,0
M-200071,Fan,Process-A,Evening,Standard,76.065,1.6055,7.603,10409.92,220.16,78.881,1,0
M-200072,Compressor,Process-A,Evening,Standard,60.542,1.022,7.7,5500.82,102.65,80.437,0,0
M-200073,Fan,Process-A,Night,Standard,71.146,1.9486,,6316.01,14.22,60.905,,0
M-200074,Motor,Process-A,Night,,69.464,1.4495,6.905,6288.08,78.1,64.351,2,0
M-200075,Motor,Process-A,Day,Standard,74.318,1.4964,6.376,3017.75,139.11,77.196,3,0
M-200076,Motor,Storage,Day,Standard,,,5.87,13672.34,334.96,62.161,2,0
M-200077,Fan,Utilities,Evening,Standard,86.754,0.9419,7.159,5711.16,18.82,79.467,2,0
M-200078,Compressor,Process-A,Day,Minimal,,1.6811,7.128,4060.83,31.23,74.939,1,0
M-200079,Fan,Packaging,Day,Enhanced,67.231,1.6153,5.012,7525.11,59.37,66.369,2,0
M-200080,Fan,Storage,Night,Minimal,56.022,2.3657,8.012,6604.66,121.27,58.974,4,0
M-200081,Motor,Process-A,Evening,Enhanced,69.086,3.1181,8.3,5303.22,106.91,77.516,2,0
M-200082,Compressor,Process-A,Day,Standard,57.261,2.509,7.237,,63.81,51.69,2,0
M-200083,Fan,Packaging,Night,Standard,45.212,2.0581,7.198,8142.37,151.64,59.154,1,0
M-200084,,Process-B,Day,Standard,,1.113,6.582,3919.62,124.16,41.658,1,0
M-200085,Fan,Process-A,Night,Standard,57.549,0.9919,6.302,12997.39,46.82,45.425,4,0
M-200086,Compressor,Storage,Day,Standard,67.26,0.9087,9.268,6177.08,115.03,81.571,1,0
M-200087,Pump,Process-A,Night,Enhanced,67.851,1.8255,7.807,8921.6,,66.243,1,0
M-200088,Pump,Process-B,Day,Minimal,84.939,2.292,7.41,1836.1,91.08,73.049,1,0
M-200089,Fan,Process-B,Night,Enhanced,66.586,2.1802,6.892,7253.03,9.93,41.886,5,0
M-200090,Motor,,Evening,Minimal,54.895,0.9696,4.48,3702.32,107.01,62.432,0,0
M-200091,,Packaging,Day,Standard,63.005,,7.911,3148.64,10.61,71.521,1,0
M-200092,Motor,Process-A,,Standard,58.452,1.8219,10.749,4521.73,106.52,75.874,1,0
M-200093,Compressor,Process-A,Day,Standard,60.765,1.8538,9.303,5826.98,161.6,73.838,0,0
M-200094,Motor,Process-B,Night,Enhanced,61.509,5.0547,7.677,5129.17,32.75,72.921,0,0
M-200095,Compressor,Process-A,Evening,Minimal,65.389,,10.347,3172.4,96.21,88.015,1,0
M-200096,Motor,Process-A,Night,Minimal,74.998,1.6814,9.193,,28.78,110.0,,1
M-200097,Compressor,Process-B,Day,,73.662,1.4601,5.225,5370.37,84.1,73.965,2,1
M-200098,Pump,Packaging,Day,Standard,73.575,1.1552,4.9,9091.01,105.0,76.66,0,0
M-200099,Compressor,,Day,Standard,73.753,1.8577,5.965,4466.26,111.83,76.209,0,0
M-200100,Motor,Utilities,Night,Standard,71.151,1.228,4.551,6440.14,47.34,71.826,1,0
M-200101,Compressor,Process-A,Evening,Minimal,66.382,1.8783,8.051,9038.51,156.65,69.152,2,1
M-200102,Compressor,Process-A,Day,Enhanced,84.066,1.3981,7.936,2836.93,84.36,77.891,2,0
M-200103,Pump,Packaging,Evening,Enhanced,72.132,0.9422,4.546,4459.7,138.05,69.246,1,0
M-200104,Motor,Process-A,Day,Standard,61.831,0.8415,6.999,5638.23,17.81,60.15,2,0
M-200105,Fan,Process-B,Night,Standard,78.626,,8.026,9263.12,80.48,110.0,2,0
M-200106,Pump,Process-A,Evening,Standard,67.974,1.9963,5.524,2132.65,128.49,71.03,0,0
M-200107,Fan,Process-B,Day,Enhanced,,2.1707,9.78,11967.77,29.42,73.587,2,0
M-200108,Motor,Process-A,Day,Standard,68.061,,6.812,6019.25,54.55,82.02,0,0
M-200109,Motor,Utilities,Day,Enhanced,72.844,1.9498,5.979,2315.37,89.34,67.925,2,0
M-200110,Compressor,Process-B,Evening,Enhanced,74.172,1.7045,7.728,3677.13,46.62,55.784,5,0
M-200111,Motor,Packaging,Night,Enhanced,68.649,1.2483,8.648,3775.63,73.49,80.475,1,0
M-200112,Pump,Storage,Day,Enhanced,46.132,1.0283,3.735,8265.56,157.18,69.58,1,0
M-200113,Motor,Process-A,Night,Standard,63.934,,5.368,5385.62,62.48,73.818,2,0
M-200114,Pump,Process-B,Evening,Standard,46.859,,7.219,2897.38,91.1,78.052,0,0
M-200115,,Process-A,Night,Standard,72.511,1.3718,7.019,8226.45,73.38,49.074,4,1
M-200116,Pump,Process-A,Day,Minimal,,1.7363,6.761,3771.59,73.57,92.803,0,0
M-200117,Pump,Process-B,Evening,Standard,,2.8741,6.425,2678.85,30.55,94.52,3,0
M-200118,Pump,Packaging,Day,Standard,77.476,1.4732,5.914,2104.99,78.77,88.667,,0
M-200119,Motor,Utilities,Night,Enhanced,79.658,2.0194,6.154,,45.09,91.266,3,0
M-200120,Pump,Process-B,Day,Standard,,1.4185,8.536,6503.7,177.9,62.159,1,1
M-200121,Fan,Process-B,Night,Standard,72.18,1.63,6.664,18000.0,190.43,80.072,1,0
M-200122,Compressor,Process-A,Day,Minimal,59.124,2.904,8.879,3314.58,34.48,83.19,2,0
M-200123,Motor,Packaging,Evening,Standard,,1.1421,7.346,4795.13,177.89,68.545,1,0
M-200124,Compressor,Utilities,Evening,Standard,68.909,2.1765,7.205,5183.11,48.96,34.257,1,0
M-200125,Compressor,Utilities,Evening,Standard,69.37,0.9929,5.868,1241.27,60.3,49.08,1,0
M-200126,Compressor,Process-B,Day,Minimal,,,7.869,2661.05,141.79,95.359,1,0
M-200127,Motor,Process-A,Night,Minimal,65.733,1.2638,8.249,4907.34,98.91,59.431,1,0
M-200128,Compressor,Packaging,Night,Enhanced,67.888,1.5217,1.733,5014.99,36.42,87.041,0,0
M-200129,,Process-A,Evening,Minimal,56.377,1.3517,5.853,1094.27,265.01,86.423,1,0
M-200130,Pump,Storage,Night,Enhanced,63.735,1.6124,5.609,7758.04,69.57,56.452,2,0
M-200131,Pump,Process-B,Day,Enhanced,76.133,1.9653,7.264,7898.62,76.97,78.136,1,0
M-200132,Compressor,Utilities,Day,Standard,79.026,1.6937,5.16,1521.8,144.09,62.011,1,0
M-200133,Motor,Process-A,Day,Enhanced,,2.3042,9.909,3206.75,80.43,75.803,1,0
M-200134,Pump,Process-A,Evening,Standard,55.801,1.0479,7.889,3181.8,87.48,101.44,1,0
M-200135,Pump,Process-A,Evening,Standard,62.314,1.0432,6.869,10047.84,85.6,57.953,3,0
M-200136,Pump,Process-A,Evening,Standard,82.148,2.3587,9.538,2746.77,103.94,61.289,1,0
M-200137,Motor,Packaging,Evening,Standard,74.198,1.5285,6.342,5770.53,63.57,93.048,3,0
M-200138,Compressor,Process-A,Evening,,73.61,0.7115,8.035,2886.72,94.93,63.434,5,1
M-200139,Pump,Process-B,Night,Minimal,68.974,0.9584,6.167,3039.39,41.12,74.565,2,0
M-200140,Fan,Process-B,Day,Standard,59.27,1.6068,6.686,3277.66,90.35,75.832,2,0
M-200141,Motor,Packaging,Evening,Standard,57.55,3.3572,6.491,4651.76,100.8,77.022,4,0
M-200142,Fan,Process-A,,Enhanced,55.199,1.4545,6.366,1977.89,84.54,67.945,3,0
M-200143,Compressor,Utilities,Night,Enhanced,59.828,1.5647,6.175,5034.84,73.43,74.148,1,0
M-200144,Pump,Process-B,Evening,Standard,57.375,1.0771,7.144,3722.98,10.1,78.863,3,0
M-200145,Pump,Process-A,Day,Standard,75.394,1.8971,4.367,5627.42,,66.488,2,0
M-200146,Pump,Utilities,Evening,Standard,59.719,2.4581,4.437,6522.56,38.68,95.174,3,0
M-200147,Fan,Storage,Evening,Minimal,72.948,0.9272,9.021,2858.07,23.5,74.256,3,0
M-200148,Motor,Utilities,Day,Standard,56.476,1.3438,7.642,8387.54,34.81,53.992,1,0
M-200149,Pump,Process-B,Night,Enhanced,,1.271,4.087,6402.43,62.97,75.755,0,0
M-200150,Fan,Storage,Evening,Standard,58.076,2.587,6.663,7227.14,54.91,92.63,3,0
M-200151,Pump,Storage,Evening,Standard,,3.0692,5.305,9752.58,98.94,71.45,3,0
M-200152,Pump,Process-A,Evening,Standard,60.684,1.5536,6.049,7461.23,79.85,94.424,3,0
M-200153,Fan,Utilities,Day,Standard,74.707,1.1079,7.383,4865.2,40.65,75.794,0,0
M-200154,Motor,Packaging,Evening,Enhanced,80.886,4.3447,7.584,3993.39,104.62,74.277,1,0
M-200155,Compressor,Utilities,Evening,Standard,81.251,0.9908,8.06,2298.82,184.93,64.704,0,0
M-200156,Pump,Process-A,Day,Enhanced,59.852,6.6656,9.302,560.49,126.74,59.523,0,0
M-200157,Motor,Storage,Night,Minimal,,1.515,7.71,5457.35,96.56,91.926,2,0
M-200158,Fan,Packaging,Day,Minimal,64.607,1.8175,4.51,6613.45,22.75,106.161,3,0
M-200159,Motor,Utilities,Night,Standard,66.049,1.3778,7.816,3081.99,59.63,,0,0
M-200160,Motor,Process-B,Night,Enhanced,75.77,2.4564,,12828.75,8.88,82.789,1,0
M-200161,Pump,Process-B,Day,Minimal,58.05,2.5815,,1334.53,157.35,85.044,0,0
M-200162,Compressor,Packaging,Night,Minimal,81.345,1.5863,9.24,4627.89,43.92,85.263,1,1
M-200163,Motor,Utilities,Day,Standard,40.825,1.0498,6.959,4576.34,141.02,80.964,0,0
M-200164,Motor,Process-B,Evening,Standard,81.341,2.3787,4.445,5831.03,149.3,69.157,1,0
M-200165,,Packaging,Day,Standard,86.91,1.6361,5.604,2744.71,58.02,59.691,0,0
M-200166,Pump,Packaging,,Standard,78.019,0.7963,8.158,2360.43,25.85,64.589,1,0
M-200167,Motor,Process-A,Evening,Standard,55.311,0.9191,7.951,12402.23,114.23,61.168,0,0
M-200168,Motor,Process-B,Evening,Standard,78.128,1.5245,4.095,2199.95,54.06,79.047,3,0
M-200169,Pump,Utilities,Night,Minimal,62.422,2.8317,5.815,3940.5,50.17,75.886,2,0
M-200170,Compressor,Process-A,Night,Minimal,77.746,2.8511,9.491,5117.28,42.56,70.496,3,0
M-200171,Compressor,Packaging,Evening,Enhanced,71.178,2.0764,6.638,3466.12,143.65,54.314,2,0
M-200172,Compressor,Process-A,Day,Standard,68.707,1.136,1.895,10549.78,82.8,67.115,0,0
M-200173,Motor,Packaging,Day,Minimal,68.749,2.0116,7.174,3912.75,85.86,71.062,2,0
M-200174,Compressor,Process-B,Night,Minimal,57.654,2.2559,5.261,7582.21,26.58,82.395,3,0
M-200175,Motor,,Day,Standard,84.989,2.1099,5.076,1489.43,13.07,80.418,3,0
M-200176,Fan,Process-A,Day,Minimal,68.247,2.6744,7.216,5375.3,109.99,56.385,5,1
M-200177,Fan,Utilities,Evening,Standard,71.01,1.3799,6.153,5151.11,123.22,71.884,1,0
M-200178,Motor,Process-B,Evening,Standard,61.161,1.2401,5.169,1792.15,35.32,67.834,1,0
M-200179,Motor,Process-A,Night,Standard,,1.1515,8.331,4552.15,11.54,76.334,3,0
M-200180,Motor,Packaging,Night,Standard,83.549,1.1974,6.25,11529.71,175.95,63.897,3,1
M-200181,Fan,Process-A,Day,Standard,68.09,0.8639,4.779,7713.95,92.35,64.168,1,0
M-200182,Compressor,Utilities,Evening,Enhanced,,2.1061,4.808,,74.3,67.81,1,0
M-200183,Fan,Utilities,Evening,Standard,63.41,3.2289,7.814,2437.59,7.35,56.663,0,0
M-200184,Pump,Process-B,Day,Standard,88.795,3.9557,9.565,7262.94,,72.416,2,0
M-200185,Fan,,Day,Standard,73.212,,4.848,3456.02,135.4,81.753,3,0
M-200186,Compressor,Packaging,Evening,Minimal,62.205,2.3602,4.48,2849.54,80.28,106.604,0,0
M-200187,Pump,Process-B,Evening,Standard,76.434,2.7634,7.994,6804.24,90.42,78.863,1,1
M-200188,Compressor,Storage,Day,Minimal,56.743,2.4113,4.521,3170.78,12.81,58.132,3,0
M-200189,Pump,Utilities,Night,Enhanced,47.317,2.9166,7.256,4862.08,52.86,57.774,0,0
M-200190,Fan,Process-A,Day,Standard,85.537,2.9928,6.697,6563.17,66.59,78.097,3,1
M-200191,Motor,Process-B,Evening,Standard,78.397,1.0789,7.8,7547.4,183.42,78.489,2,1
M-200192,Pump,Packaging,Evening,Standard,77.284,,4.533,3780.0,42.09,82.735,0,0
M-200193,Compressor,Process-B,Day,Standard,44.137,2.4612,6.951,7852.53,210.86,,1,0
M-200194,Compressor,Packaging,Night,Minimal,61.233,2.3848,7.603,3355.02,107.6,68.933,1,0
M-200195,Pump,Utilities,,Standard,74.973,2.1554,6.178,11654.39,33.8,91.844,1,0
M-200196,Compressor,Process-A,Evening,Standard,74.935,3.1246,5.917,,101.72,69.917,4,0
M-200197,Motor,Process-B,Day,Standard,66.421,1.9049,7.64,18000.0,307.33,69.482,2,1
M-200198,Pump,Process-B,Evening,Minimal,,4.1908,5.318,4173.49,52.93,65.248,1,1
M-200199,Pump,Utilities,Night,Enhanced,82.792,1.1022,5.871,2358.35,25.86,83.8,1,0
M-200200,Compressor,Process-B,Day,Standard,65.884,2.4801,5.622,1860.62,,70.585,,0
M-200201,Pump,Process-A,Day,Enhanced,54.5,3.2263,,12250.36,38.28,71.532,5,0
M-200202,Compressor,Process-A,Night,Minimal,79.453,1.0437,4.83,,242.19,45.23,2,1
M-200203,Compressor,Packaging,Evening,Enhanced,72.821,1.3042,,18000.0,186.8,60.882,1,1
M-200204,Fan,Process-B,Night,Standard,72.237,1.623,6.567,5150.42,43.16,64.366,0,0
M-200205,Compressor,Process-B,Night,Standard,103.508,1.4063,6.797,452.23,,83.111,2,0
M-200206,Pump,Packaging,Night,Enhanced,75.939,1.4729,4.954,7975.97,111.51,72.219,1,0
M-200207,,Process-A,Evening,Enhanced,78.154,1.4799,7.721,8884.81,79.29,87.12,2,0
M-200208,Compressor,Process-A,Night,Standard,86.371,4.1543,7.284,3378.87,4.08,60.831,2,1
M-200209,Motor,Process-B,Evening,Enhanced,69.586,1.7205,5.178,4089.27,37.74,88.634,4,0
M-200210,Pump,Process-B,Night,Enhanced,59.51,1.1985,7.88,1739.07,30.09,89.851,1,0
M-200211,Motor,Utilities,Evening,Enhanced,74.156,2.3368,5.779,1163.12,15.78,77.277,0,0
M-200212,Fan,Process-A,Night,Standard,71.588,,6.994,5978.9,73.85,87.498,2,0
M-200213,Compressor,Process-A,Evening,Minimal,62.873,1.7956,6.955,4030.1,43.05,63.025,1,0
M-200214,Fan,Storage,Day,Enhanced,80.064,1.8689,5.717,3589.79,152.53,80.446,1,0
M-200215,Motor,Process-A,Day,Standard,51.803,1.5954,3.899,5410.72,,67.903,0,0
M-200216,Fan,Storage,Day,Minimal,67.823,1.4235,5.191,6309.8,75.19,72.927,4,0
M-200217,Motor,Utilities,Day,Enhanced,70.825,1.2138,6.998,2997.51,197.65,80.124,2,0
M-200218,Pump,Utilities,Day,Standard,66.314,0.6379,7.425,5978.41,55.54,84.361,2,0
M-200219,Motor,Utilities,Day,Minimal,75.955,1.8665,6.705,14467.77,75.5,66.519,2,1
M-200220,Pump,Packaging,Evening,Standard,75.972,1.9696,6.566,1267.93,176.25,77.377,1,0
M-200221,Compressor,Utilities,Evening,Enhanced,59.239,0.8234,6.933,10200.13,69.42,88.479,3,0
M-200222,Pump,Process-B,Evening,Standard,56.163,1.625,6.975,740.32,244.62,38.293,2,0
M-200223,Pump,Process-B,,Standard,77.225,1.1904,7.379,3797.16,128.09,85.804,1,0
M-200224,Pump,Process-A,Night,Minimal,64.582,0.9227,8.649,,92.32,70.925,3,0
M-200225,Motor,Process-A,Day,Standard,78.999,1.9739,8.423,8383.49,69.02,67.059,4,0
M-200226,Motor,Process-B,Evening,Standard,74.093,2.136,4.891,5118.92,146.37,49.573,2,0
M-200227,Fan,Packaging,Evening,Standard,62.712,2.3721,8.825,4651.66,61.69,58.62,2,0
M-200228,Fan,Process-B,,Standard,63.74,3.9396,,4109.7,57.87,71.38,1,0
M-200229,Fan,Packaging,Day,Standard,52.073,2.3278,5.683,3581.7,94.6,90.415,1,0
M-200230,,Process-A,,Standard,73.534,1.2953,5.389,5566.04,34.64,52.743,2,0
M-200231,Motor,Utilities,Day,Standard,53.218,0.6065,,8171.22,108.06,62.431,1,0
M-200232,Motor,Storage,Day,Standard,78.153,1.7464,6.712,6120.25,87.38,87.985,4,0
M-200233,Pump,Packaging,Night,Minimal,65.956,1.4247,6.826,4677.38,97.98,36.265,3,0
M-200234,Pump,Process-A,Day,Standard,58.655,1.8486,5.917,6171.95,66.96,53.131,1,0
M-200235,Motor,Storage,Night,Standard,87.641,1.4035,8.086,8374.57,43.71,38.878,1,0
M-200236,Motor,Process-B,Day,Enhanced,69.06,1.8679,6.225,7848.58,32.03,49.804,2,0
M-200237,Pump,Utilities,Day,Standard,70.902,2.5427,4.874,2708.25,23.13,95.684,4,0
M-200238,Compressor,Process-A,Day,Standard,74.967,1.4937,4.433,10132.19,43.47,56.541,3,0
M-200239,Motor,Process-A,Evening,Enhanced,60.521,1.723,7.206,4597.59,143.04,70.845,1,0
M-200240,Motor,Storage,,Standard,65.418,1.743,8.034,2773.07,42.15,90.688,0,0
M-200241,Pump,Utilities,Evening,Minimal,57.576,,7.681,2198.92,91.72,101.414,1,0
M-200242,Fan,Process-B,Evening,Standard,67.855,1.0981,5.3,6221.75,69.97,93.952,2,0
M-200243,Pump,Utilities,Evening,Minimal,66.252,1.0821,6.402,3647.21,,67.756,2,0
M-200244,Pump,Utilities,Day,Standard,73.829,2.0578,7.437,2037.68,261.23,61.43,0,0
M-200245,Fan,Process-B,Night,Enhanced,95.725,1.7112,7.227,,155.27,66.666,1,0
M-200246,Motor,Utilities,Day,Standard,62.098,3.0907,,6983.17,22.64,67.235,2,0
M-200247,Compressor,Process-B,Night,Standard,61.47,1.2494,4.643,11666.76,223.65,48.154,4,1
M-200248,Motor,Process-A,Night,Standard,69.803,1.5226,4.271,9547.83,50.04,65.967,2,0
M-200249,Compressor,Packaging,Night,Standard,76.772,1.5227,4.752,1688.68,183.55,43.106,0,0
M-200250,Motor,Packaging,Evening,Standard,69.892,1.8242,5.207,4750.29,8.72,81.85,1,0
M-200251,Fan,Process-A,Day,Standard,73.058,1.4032,4.525,756.57,133.0,83.127,1,0
M-200252,Pump,Packaging,Night,,66.378,4.6349,5.728,2003.9,129.0,74.34,0,0
M-200253,Compressor,Process-B,Night,Minimal,77.545,1.3022,4.691,7243.01,136.04,56.967,1,0
M-200254,Fan,Storage,Night,Standard,,0.977,7.509,4314.07,21.25,64.81,2,0
M-200255,Fan,Utilities,Day,,58.372,3.0995,5.432,3347.89,108.27,47.566,2,0
M-200256,Fan,Packaging,Night,Enhanced,76.697,1.6861,4.145,3991.0,90.94,70.634,4,0
M-200257,Compressor,Process-A,Day,Standard,63.923,2.7558,7.589,1349.91,104.94,40.57,1,0
M-200258,Fan,Process-B,Evening,Standard,62.854,3.5579,7.719,859.05,73.52,63.221,3,0
M-200259,Motor,Utilities,Day,Minimal,71.58,,3.481,4719.09,2.79,83.271,1,0
M-200260,Pump,Process-B,Night,Standard,65.956,0.6803,6.605,3034.38,52.87,84.509,0,0
M-200261,Motor,Storage,Evening,Standard,60.083,0.6286,6.599,2956.81,80.24,44.726,0,0
M-200262,Motor,Process-B,,Standard,84.111,1.1821,,2894.87,27.43,74.302,4,0
M-200263,Motor,Storage,Night,Standard,69.087,3.9233,6.73,6501.96,,41.139,5,0
M-200264,Compressor,Utilities,Night,Enhanced,71.094,0.8741,9.378,1230.19,50.79,82.692,1,0
M-200265,Fan,Process-B,Night,Standard,57.215,1.5567,8.168,7208.2,112.27,75.562,2,0
M-200266,Pump,Utilities,Night,Minimal,,1.6334,6.698,9895.06,118.71,57.739,1,0
M-200267,Pump,Process-B,Day,Standard,59.872,,5.95,8551.49,76.76,,2,0
M-200268,Pump,Utilities,Night,Enhanced,66.607,1.9934,7.133,2679.31,166.92,34.241,0,0
M-200269,Pump,Storage,Day,Standard,73.722,1.1225,5.456,2009.63,120.71,74.992,2,0
M-200270,Pump,Process-B,Night,Standard,50.616,2.4343,9.249,5294.52,153.64,56.24,2,0
M-200271,Motor,Process-A,Day,Enhanced,83.627,1.3508,4.321,3282.07,67.56,55.574,1,0
M-200272,Fan,Utilities,Night,Enhanced,60.893,4.7389,8.762,4914.94,50.04,,1,1
M-200273,Pump,Process-B,Day,Minimal,66.641,1.36,7.539,4713.16,90.53,69.173,2,0
