record_id,machine_type,shift,plant_area,load_percent,temperature_c,vibration_mm_s,age_years,days_since_service,operating_hours,prior_failures,maintenance_duration_hours
REC-00121,Pump,Evening,Process-A,77.64,64.174,1.0143,6.767,195.87,9250.52,2.0,68.585
REC-00122,Compressor,Day,Packaging,59.696,51.407,1.2558,2.186,103.1,12384.97,3.0,77.075
REC-00123,Compressor,Night,Process-B,70.135,71.675,1.5798,9.167,62.83,3725.4,2.0,91.192
REC-00124,Pump,Day,Process-A,70.996,73.676,1.5797,,150.3,1761.52,1.0,57.788
REC-00125,Pump,Day,Process-B,97.14,84.014,1.0335,1.628,55.06,2885.4,1.0,66.699
REC-00126,Pump,Day,Process-B,51.844,57.232,1.5778,8.044,58.84,4965.86,1.0,75.804
REC-00127,Pump,Day,Packaging,85.648,71.336,1.2795,6.108,184.69,3450.02,1.0,61.924
REC-00128,Pump,Evening,Process-A,86.109,69.351,,3.265,35.11,9083.9,2.0,72.6
REC-00129,Pump,Evening,Packaging,93.84,76.824,1.5646,8.94,10.73,6063.95,1.0,63.785
REC-00130,Compressor,Night,Utilities,58.833,66.769,2.3212,4.178,118.61,6409.8,1.0,67.52
REC-00131,Pump,Evening,Packaging,53.44,67.639,1.1029,0.833,73.45,6743.43,,60.242
REC-00132,Motor,Day,Utilities,86.198,65.088,1.0519,3.897,,,0.0,51.275
REC-00133,Pump,Night,Process-B,70.978,87.129,1.1952,6.728,,4130.82,3.0,93.225
REC-00134,Motor,Day,Process-B,80.922,83.551,1.0284,10.079,128.52,7741.17,2.0,82.161
REC-00135,Compressor,Night,Process-A,92.873,72.63,3.9587,3.49,74.2,7389.68,0.0,104.318
REC-00136,Motor,Evening,Process-A,84.222,67.442,1.3015,2.257,54.72,3174.46,1.0,55.304
REC-00137,Pump,Day,Packaging,73.843,63.097,1.0624,3.778,129.53,1714.09,0.0,43.18
REC-00138,Pump,Night,Packaging,77.76,49.993,1.538,7.802,27.81,6068.71,2.0,70.652
REC-00139,Pump,Evening,Process-A,91.75,70.117,1.2365,15.844,,7405.6,1.0,81.711
REC-00140,Compressor,Evening,Process-A,79.779,66.692,0.5796,5.68,195.79,9716.33,0.0,77.714
REC-00141,,Day,Process-B,68.865,59.526,3.3001,,136.28,6270.87,2.0,94.459
REC-00142,Fan,Day,Process-B,67.078,67.878,1.2688,6.019,71.59,1639.98,1.0,51.741
REC-00143,Compressor,Day,Utilities,72.518,63.421,0.9159,2.781,71.93,538.9,1.0,50.445
REC-00144,Motor,Day,Packaging,75.614,78.902,,3.176,32.64,3647.39,4.0,58.986
REC-00145,Pump,Day,Process-B,94.832,64.729,1.1523,5.706,24.07,1316.88,1.0,64.136
REC-00146,Fan,Day,Process-A,84.117,79.989,1.3122,12.951,,1829.28,3.0,59.63
REC-00147,Pump,Day,Process-B,90.378,59.34,1.6176,3.276,117.65,2323.09,1.0,63.623
REC-00148,Pump,Night,Process-B,91.796,70.033,0.4036,3.288,119.01,7799.25,1.0,67.723
REC-00149,Motor,Day,Process-B,110.0,68.957,1.3719,2.69,32.12,1763.14,2.0,46.146
REC-00150,Motor,Day,Utilities,82.527,76.751,,10.193,167.04,11562.12,0.0,64.737
REC-00151,Motor,Evening,Utilities,50.863,72.311,0.7887,5.26,42.53,2286.41,0.0,45.86
REC-00152,Pump,Day,Process-B,78.824,82.947,1.4191,,97.52,3078.49,2.0,86.481
REC-00153,Pump,Day,Utilities,49.219,77.483,1.4356,6.29,80.93,1673.73,1.0,57.198
REC-00154,Motor,Day,Process-A,92.807,,4.1299,9.648,27.6,6541.24,1.0,66.538
REC-00155,Pump,Evening,Packaging,92.164,63.953,1.5473,4.559,38.18,,2.0,55.82
REC-00156,Motor,Night,Process-A,80.129,47.115,0.85,11.735,36.77,2895.32,3.0,57.332
REC-00157,Pump,Evening,Process-A,94.849,64.868,1.0841,13.744,102.78,5810.37,4.0,73.699
REC-00158,Fan,Day,Utilities,64.58,,2.4751,3.354,230.58,4086.11,0.0,58.582
REC-00159,Compressor,Day,Process-A,73.528,67.603,,3.203,42.35,4757.72,3.0,74.35
REC-00160,Compressor,Day,Packaging,73.82,65.67,0.6597,1.101,262.91,9911.25,2.0,64.8
REC-00161,Fan,Day,Utilities,,69.845,2.6169,1.637,252.05,1577.24,2.0,53.463
REC-00162,Pump,Evening,Process-A,80.067,63.204,1.7388,5.025,40.49,8984.35,1.0,64.958
REC-00163,Fan,Evening,Process-A,84.513,55.351,1.1637,6.824,110.16,3378.61,3.0,51.639
REC-00164,Pump,Evening,Utilities,77.286,76.96,2.4268,7.798,160.81,3588.16,2.0,84.763
REC-00165,Pump,Day,Process-B,98.773,75.453,1.5453,2.223,,2676.47,0.0,72.718
REC-00166,Pump,Night,Packaging,56.113,71.507,3.13,13.045,80.67,4696.71,1.0,77.174
REC-00167,Motor,Day,Process-A,74.305,69.359,2.0784,9.663,92.91,9965.84,3.0,68.571
REC-00168,Motor,Day,Packaging,72.715,60.672,1.1594,5.538,127.38,2985.57,2.0,47.29
REC-00169,Motor,Night,Process-A,84.205,59.946,2.4259,15.68,174.83,5636.56,3.0,85.536
REC-00170,Motor,Evening,Process-A,82.281,73.738,1.2185,2.843,89.81,1085.28,1.0,58.364
REC-00171,Motor,Night,Process-B,82.982,83.202,1.6343,2.346,42.95,3574.23,2.0,63.766
REC-00172,Fan,Day,Packaging,81.943,60.493,2.0143,12.447,61.64,4196.06,1.0,40.622
REC-00173,Fan,Evening,Process-B,80.29,62.129,1.3183,17.243,1.78,4486.08,2.0,53.499
REC-00174,Compressor,Night,Process-A,49.61,52.875,1.5502,5.173,121.07,4019.11,2.0,79.271
REC-00175,Pump,,Process-A,54.631,63.843,1.6502,4.126,40.67,5888.33,2.0,65.132
REC-00176,Motor,Evening,Process-A,60.898,85.553,,5.543,,4625.9,0.0,58.427
REC-00177,Motor,Day,Utilities,91.431,63.808,0.4821,5.749,30.33,6945.71,3.0,45.374
REC-00178,Compressor,Day,Process-A,52.024,77.216,1.3676,1.851,37.67,2536.29,3.0,60.56
REC-00179,Motor,Evening,Process-B,70.803,72.742,1.4966,1.045,130.37,5875.17,0.0,67.474
REC-00180,Compressor,Night,Process-A,67.285,51.612,0.8191,5.265,46.25,5437.25,1.0,93.687
REC-00181,Motor,Night,Process-B,67.403,65.271,1.7476,2.534,50.99,3025.58,1.0,58.944
REC-00182,Pump,Night,Process-A,47.513,68.036,1.4906,6.95,56.54,7621.87,2.0,73.411
REC-00183,Fan,Day,Packaging,88.618,78.638,1.2793,9.264,102.83,5781.54,2.0,51.142
REC-00184,Motor,Night,Process-B,67.036,65.674,1.1256,7.315,91.89,11144.46,1.0,77.959
REC-00185,Compressor,Evening,Utilities,71.254,48.54,1.6078,6.66,54.91,6467.48,0.0,67.303
REC-00186,Pump,Day,Process-B,95.622,68.081,1.9544,8.0,59.46,5855.53,2.0,73.758
REC-00187,Pump,Evening,Packaging,67.959,,2.9554,4.892,24.87,2589.78,0.0,57.569
REC-00188,Compressor,,Process-B,65.206,55.436,1.3712,,64.05,2993.26,0.0,73.032
REC-00189,Motor,Evening,Process-B,65.052,65.004,4.2274,9.776,100.17,5946.18,2.0,79.337
REC-00190,Motor,Day,Packaging,51.063,70.249,0.9984,5.224,89.71,5162.08,1.0,41.12
REC-00191,Fan,Night,Packaging,81.106,67.842,1.0468,2.703,39.0,11098.34,0.0,39.37
REC-00192,Motor,Evening,,75.636,68.567,,6.377,170.6,5148.95,2.0,70.904
REC-00193,Fan,Evening,Process-B,79.562,55.623,1.9942,5.213,,3718.18,0.0,65.349
REC-00194,Compressor,Day,Process-B,102.962,,2.3839,0.795,90.56,11613.4,1.0,95.662
REC-00195,Compressor,Night,Utilities,53.696,64.884,0.8151,5.247,88.76,7807.37,3.0,71.682
REC-00196,Pump,Day,Process-B,58.6,72.57,1.4386,9.941,63.2,2919.84,2.0,71.368
REC-00197,Compressor,Night,Utilities,85.184,63.353,,2.769,158.42,1089.57,1.0,77.926
REC-00198,Compressor,Night,Process-A,65.345,65.394,1.0545,12.437,,2712.16,1.0,85.564
REC-00199,Motor,Day,Packaging,55.13,69.947,1.7831,17.957,90.51,2856.02,2.0,54.017
REC-00200,Fan,Day,Utilities,61.024,63.841,1.181,2.868,64.45,1699.34,2.0,35.258
REC-00201,Pump,Night,Process-B,56.697,73.403,2.7989,4.296,36.45,,0.0,77.39
REC-00202,Fan,Night,,68.315,68.295,1.6184,3.624,138.38,2413.18,3.0,57.123
REC-00203,Motor,Night,Process-A,88.587,67.345,0.8512,10.479,77.89,2431.76,1.0,61.032
REC-00204,Motor,Evening,Utilities,71.477,74.027,2.1986,12.477,,3159.72,1.0,67.628
REC-00205,Compressor,Day,Process-A,81.082,73.988,1.807,5.176,113.46,6049.97,4.0,74.803
REC-00206,Compressor,Day,Process-B,55.622,61.387,1.129,0.854,64.85,5462.43,1.0,59.234
REC-00207,Motor,Day,Process-A,81.351,72.453,3.8897,22.0,137.16,,2.0,77.824
REC-00208,Motor,Night,Packaging,59.963,61.813,2.3358,5.752,160.8,10618.19,1.0,70.14
REC-00209,Compressor,Evening,Packaging,91.204,71.676,1.5846,13.919,,7386.86,1.0,93.053
REC-00210,Motor,,Utilities,81.581,43.463,3.328,2.983,174.0,3978.07,0.0,69.964
REC-00211,Motor,Day,Utilities,78.531,73.235,1.74,21.884,44.04,6984.68,0.0,56.549
REC-00212,Fan,Day,Process-A,103.755,69.329,1.7995,4.003,16.05,5384.67,0.0,49.003
REC-00213,Fan,Evening,Process-B,82.168,66.693,1.6365,10.845,38.77,5195.48,1.0,53.183
REC-00214,Compressor,Evening,Process-A,85.816,65.965,3.01,1.763,64.91,16948.73,3.0,108.955
REC-00215,Pump,Day,Process-B,66.003,82.904,1.1393,0.937,,3128.35,1.0,62.355
REC-00216,Fan,Night,Process-B,71.532,79.522,1.0949,20.596,21.88,5314.67,0.0,75.794
REC-00217,Fan,Day,Process-B,68.267,67.53,2.7585,2.015,62.5,1470.4,3.0,58.659
REC-00218,Pump,Day,Packaging,75.609,65.011,1.1419,7.239,122.48,916.79,3.0,61.136
REC-00219,Compressor,Day,Process-B,91.811,54.235,0.6655,4.855,12.9,5748.76,2.0,86.166
REC-00220,Compressor,,Process-A,68.837,64.588,0.9719,7.101,74.67,5567.46,1.0,76.325
REC-00221,Compressor,Day,Packaging,54.302,79.176,1.0264,5.659,39.52,10051.93,2.0,62.701
REC-00222,Pump,Evening,Process-A,103.2,67.297,2.4908,6.231,73.17,1708.46,2.0,76.982
REC-00223,Fan,Day,Packaging,82.713,52.138,0.6871,4.309,73.04,2137.71,,28.582
REC-00224,Fan,Day,,79.957,73.969,1.2064,1.594,28.09,4384.39,2.0,53.073
REC-00225,,Evening,Packaging,,72.477,1.5714,5.895,67.59,8155.07,0.0,53.76
REC-00226,Pump,Night,Process-B,69.093,67.662,1.526,8.913,17.93,4310.84,1.0,85.267
REC-00227,Motor,,Process-A,71.374,52.797,1.9528,5.518,139.74,1190.19,1.0,45.562
REC-00228,Fan,Day,Process-B,73.664,77.656,1.0576,4.391,45.96,2324.6,1.0,55.531
REC-00229,Pump,Day,Packaging,,84.212,2.3966,9.493,90.77,3602.73,0.0,67.116
REC-00230,Motor,Night,Packaging,,58.285,2.0638,9.037,62.74,166.54,1.0,53.284
REC-00231,Motor,Day,Process-A,76.801,65.249,1.4683,0.722,33.77,16814.35,0.0,60.983
REC-00232,Fan,Day,Utilities,74.484,64.417,2.4977,5.927,57.81,2197.99,1.0,49.752
REC-00233,Motor,Day,Process-B,58.627,56.077,1.5817,4.657,53.89,2586.57,3.0,64.458
REC-00234,Motor,Evening,Process-B,35.926,,0.8115,3.049,51.77,1518.3,1.0,48.045
REC-00235,Motor,Evening,Process-B,96.166,68.367,2.7989,9.297,120.08,3958.23,2.0,83.998
REC-00236,Motor,Night,Packaging,79.493,75.407,5.1604,12.203,157.65,366.94,1.0,84.413
REC-00237,Motor,Day,,60.698,69.78,3.0858,6.153,37.32,5250.63,0.0,62.813
REC-00238,Compressor,Evening,Process-B,26.071,72.143,2.5897,3.046,93.55,731.37,1.0,60.216
REC-00239,Motor,Day,Process-B,54.325,50.733,3.6514,11.958,,1842.89,2.0,69.869
REC-00240,Pump,Evening,Process-A,48.893,71.24,2.9095,4.578,131.37,10630.57,2.0,78.677
REC-00241,Compressor,Day,Process-B,101.926,52.51,1.1528,4.29,45.84,2863.19,1.0,82.375
REC-00242,Motor,Day,,,61.291,1.3888,5.614,90.47,1633.25,0.0,36.413
REC-00243,Fan,Night,Process-A,42.719,66.551,1.5154,7.857,93.62,4443.69,1.0,55.287
REC-00244,Pump,Day,Process-B,88.887,63.836,2.2879,7.863,14.45,2395.76,2.0,61.889
REC-00245,Motor,Day,Packaging,62.849,74.656,3.8454,6.624,31.59,2358.92,0.0,60.262
REC-00246,Pump,Day,Process-B,84.714,62.887,,11.114,87.28,2875.68,0.0,62.655
REC-00247,Pump,Night,Process-B,52.909,65.212,2.1286,3.591,94.09,3045.23,4.0,68.813
REC-00248,Motor,Evening,Process-B,88.021,58.603,3.0596,9.497,97.2,1911.53,1.0,74.333
REC-00249,Compressor,Day,Process-A,80.042,67.59,0.5358,5.069,176.72,3417.17,1.0,70.124
REC-00250,Motor,Evening,Utilities,78.274,84.73,2.4538,1.039,123.55,4368.74,3.0,58.886
REC-00251,Compressor,Night,Process-B,84.463,80.694,2.2625,4.9,63.5,5825.03,5.0,114.471
REC-00252,Pump,Night,Process-A,45.976,59.926,0.9748,5.778,158.57,4357.22,1.0,75.259
REC-00253,Pump,Evening,Process-A,57.723,75.759,3.9742,3.378,97.59,3910.66,1.0,73.718
REC-00254,Pump,Day,Process-A,42.617,64.714,,4.914,13.02,,2.0,65.55
REC-00255,Pump,Day,Process-B,60.702,68.387,2.0308,8.781,179.23,1987.73,2.0,62.009
REC-00256,Pump,Day,Packaging,75.44,55.402,,2.818,58.67,5189.82,2.0,50.24
REC-00257,Compressor,Day,Process-B,80.35,66.075,,4.415,60.74,2466.36,0.0,80.536
REC-00258,Motor,Evening,Process-A,41.398,,1.4626,17.162,114.93,2762.13,1.0,44.641
REC-00259,,Evening,Utilities,33.666,63.498,2.3389,6.953,18.41,3089.5,3.0,39.98
REC-00260,Pump,Day,Process-A,47.505,65.535,1.502,9.469,121.99,11385.63,2.0,62.441
REC-00261,Pump,Day,Packaging,69.11,74.127,1.1066,13.254,97.14,2319.27,1.0,45.985
REC-00262,Compressor,Day,Utilities,48.395,59.952,3.5665,0.994,78.1,,,68.315
REC-00263,Pump,Night,Process-B,68.548,72.56,4.3599,9.217,,5931.21,1.0,95.755
REC-00264,,Day,Process-A,59.136,72.466,0.722,8.57,48.22,12210.5,1.0,86.169
REC-00265,Compressor,Day,Process-B,71.557,65.173,1.5789,4.635,119.39,6357.03,2.0,90.095
REC-00266,Fan,Evening,Utilities,82.497,83.738,1.9993,11.756,68.21,7886.86,1.0,66.384
REC-00267,Fan,Night,Utilities,82.468,73.182,1.2896,10.675,53.12,4549.15,1.0,55.867
REC-00268,Motor,Day,,91.44,64.409,0.5546,22.0,36.33,1767.99,0.0,68.449
REC-00269,,Day,Process-B,63.691,82.282,1.7063,,109.22,2941.45,3.0,67.585
REC-00270,Motor,Day,Process-A,48.006,88.87,1.9146,14.283,44.85,4485.25,1.0,73.88
REC-00271,Motor,Day,Process-A,74.157,61.792,2.0403,1.668,81.02,2309.83,1.0,45.586
REC-00272,Motor,Day,Process-B,63.603,65.912,2.8967,1.029,74.42,2311.65,1.0,54.021
