feature_1,feature_2,feature_3,feature_4,feature_5,target
2.98509,1.88086,-1.49383,0.95446,2.91947,1
0.19281,-1.60564,-2.86017,2.409,3.21715,0
-1.81867,-2.96678,1.41245,2.02151,3.07987,1
2.95266,-2.25735,-1.80411,5.59705,1.44558,0
0.5147,1.35806,-0.90935,5.63162,1.20567,0
3.38699,2.06309,-0.71129,3.31047,0.95247,1
0.08164,-3.09759,0.30307,0.81284,0.57306,0
-0.92784,1.71237,0.61404,4.15112,0.93449,0
0.53861,-1.49356,-0.21349,2.76589,4.00289,0
0.76318,3.16507,-0.18171,0.07774,2.48239,1
2.8581,0.27661,1.27993,0.09073,1.80664,1
-3.43956,2.79747,-0.82102,5.36658,5.24921,0
2.0182,1.10166,-0.61022,5.12468,1.02842,0
-1.83002,2.83546,-0.81247,3.43832,0.50501,0
1.99521,2.07711,-1.9857,1.46463,1.18408,0
1.37932,0.1799,0.16168,4.65457,0.48447,1
1.05723,2.87969,-0.20578,2.69975,2.28319,1
1.09795,2.77874,-1.37174,4.254,0.08727,0
-1.31054,2.65578,-1.62131,0.44398,0.81764,0
-2.29515,-2.55321,-2.10438,5.05627,3.12228,1
-1.56553,2.5173,0.19185,2.82428,1.80295,0
2.75814,-3.08288,-2.39845,5.31128,1.43664,1
1.30856,2.85151,1.15034,4.70805,1.19729,0
-1.72264,-0.00191,1.90321,5.90493,1.54668,1
-1.79306,-2.43419,-1.10302,5.94484,1.02187,1
1.1121,-1.56589,1.89546,0.9523,3.28708,0
1.26648,2.86882,2.93745,1.94396,0.06635,0
3.28886,-3.26264,-1.11108,3.49208,3.87597,0
-1.10405,0.8833,-0.08502,0.25462,2.13892,1
-0.71143,-2.34991,1.20779,3.48096,2.05541,0
-2.19608,-0.35109,-1.50419,3.15332,1.39278,0
1.34099,0.10536,0.15186,1.72065,2.6489,1
1.77343,-0.98915,-1.4239,5.23181,2.14761,1
2.12042,-3.20318,-0.45086,4.67144,0.07099,1
1.3526,2.83453,-0.71365,4.79004,1.98841,1
-0.01162,-1.07639,-0.29485,5.00187,2.01979,0
1.45377,3.02709,2.53716,2.23825,0.61482,1
0.23756,2.19721,-1.0915,4.00031,2.30523,0
-2.23543,1.2952,-2.62087,5.59292,1.15426,0
1.89893,2.43015,0.83021,2.27705,1.9717,1
3.37195,2.69256,-0.83999,2.25477,1.20755,1
-0.84402,2.30975,1.61527,2.786,2.96398,0
0.29639,0.8178,-1.4033,1.42753,1.38083,0
0.32629,1.77215,1.82894,4.95799,2.10106,1
1.70534,2.17005,-0.45242,4.78203,1.09019,1
-2.56982,-2.11996,1.2372,4.40145,0.7684,1
-1.3209,-1.97208,1.44094,3.2888,2.73492,1
-1.83276,2.38386,-0.63202,1.37489,1.96641,0
0.27455,-0.27521,-0.49595,5.93699,1.98811,0
0.83127,-1.05118,-2.03784,2.20426,2.5488,1
-1.50362,-2.93927,1.47255,0.95467,3.21395,0
1.7469,-1.40566,0.8297,1.64839,3.41224,1
-3.28201,-0.94124,0.37003,2.55135,1.11956,1
0.22223,-3.14806,1.11045,2.16854,3.60198,0
3.06436,0.17012,-1.65634,3.35508,2.65386,0
-1.37126,2.43084,-1.43401,2.09609,-0.56317,0
0.1698,2.78223,1.11996,4.63846,2.60392,0
1.3688,0.36451,-0.96335,2.12947,1.03605,0
-1.32833,-0.4455,0.04376,2.91484,2.67973,0
2.96004,-2.06745,1.52128,0.72976,2.16426,0
0.35969,1.22065,-2.64223,4.5644,0.82989,0
-3.16559,-0.64274,0.36148,3.8025,1.63265,1
2.66722,3.46329,-0.34029,5.09156,3.08545,1
-1.43824,1.0373,0.71169,5.05702,3.33494,1
0.88175,-2.66708,-1.08357,5.99784,1.09028,1
1.16032,-1.98641,-1.00981,5.45379,1.62792,0
-1.33083,-1.16491,0.55225,2.53864,3.08667,1
1.79837,-3.09677,0.9688,4.49432,2.67682,0
1.83385,-1.20815,2.09409,3.39352,0.60005,1
1.42466,-2.7023,0.37753,0.99157,3.5072,1
-3.2235,1.45403,-0.37517,5.70264,2.1416,0
0.33706,2.74841,1.195,3.43715,1.78251,1
0.5097,0.42193,0.29444,1.16194,2.34828,0
-2.13525,2.51065,-0.39171,2.95753,0.6153,0
2.97715,-0.70979,0.14498,5.54541,1.24962,0
-0.99007,2.48082,-0.00332,4.6931,4.10195,0
-2.54266,1.05351,-1.3911,0.70254,2.96765,0
3.16954,-0.38363,-0.693,4.07777,1.88864,1
0.42052,-1.48676,0.5878,1.09883,2.91075,1
2.86514,-0.23007,-0.42392,0.41816,1.79418,1
2.33579,2.82507,-0.60922,0.80583,0.9966,0
1.17684,0.44634,0.70178,5.36396,1.92063,1
0.09073,1.21072,0.2086,4.06584,2.16889,0
1.20347,1.08282,-1.58039,1.53206,3.02613,0
0.892,2.13404,1.33542,5.88287,3.59401,1
2.79717,-3.25289,-1.23227,4.45948,1.25716,0
0.4365,3.48982,0.59089,4.04808,2.23092,0
0.26313,0.99263,-0.0254,1.98086,3.74812,0
0.4412,0.91897,-2.18483,4.90219,1.3168,0
0.91751,-3.20548,0.46448,2.53004,1.86557,0
0.43828,-3.46038,-2.65977,1.29795,0.91971,0
-2.28978,3.08111,-0.35399,2.72001,1.58132,0
1.8062,-3.43672,0.18853,4.51147,1.63117,0
-1.37784,0.45423,0.14943,5.42572,4.10933,1
-1.09447,3.28421,1.59158,0.38354,2.23072,0
2.06283,-1.73574,-0.12794,5.25335,1.0587,1
1.78913,-2.722,0.67444,0.37461,-0.17461,0
2.63223,-0.34024,0.69539,4.23304,0.66715,1
0.71201,-2.31462,0.5203,4.88564,1.65239,1
2.19596,-2.35996,0.64225,4.90838,1.41496,0
-1.84618,-1.94667,-1.80906,3.64119,0.71814,0
1.92228,-2.53075,0.17964,3.57798,1.6687,0
2.00044,-2.63324,-0.03993,5.17172,3.11387,0
-3.43513,-0.90058,2.02468,2.15664,2.40356,1
3.04352,0.1578,-1.75109,4.73288,1.80894,1
-0.75881,2.30579,-0.50481,2.8331,2.45992,0
0.50159,3.00272,-0.09194,5.69826,1.27987,0
-0.68651,1.3713,0.83068,5.1668,1.65191,0
-0.78623,-1.39899,1.89074,3.63212,1.38481,0
2.62323,-0.24424,-0.88477,4.27503,1.43511,1
1.97448,0.1839,-0.5899,0.10477,1.87281,0
-1.53281,-2.04778,-2.50344,5.02598,1.81352,0
-2.88332,-1.12018,0.7207,0.2033,1.22138,0
-1.05048,-1.20913,0.35451,5.22606,3.94352,1
-0.94247,-3.00005,-0.06273,4.41875,2.33749,1
0.94394,1.61773,-0.7991,5.15316,1.77834,0
-2.20549,-0.19563,-0.78127,5.31349,2.66557,1
1.24253,-0.44268,2.31499,2.08907,0.60734,1
2.4912,3.26682,0.22221,5.70894,1.00629,0
0.76365,2.62697,1.17338,4.91895,3.94001,1
2.52142,1.963,2.1743,3.4349,1.14873,1
2.95422,1.60232,-0.25883,2.16886,3.34144,1
2.59864,3.46071,-0.96868,5.55746,2.57925,1
2.68618,2.68733,-1.55998,2.13364,2.0099,1
0.06762,-1.71061,0.06466,3.70983,2.71592,0
-2.87019,2.54192,1.49248,5.51528,2.43727,0
0.64409,-0.36426,-0.09236,2.10299,1.17765,0
2.00434,1.186,-0.9482,0.98199,2.81741,0
1.6673,-2.82825,1.63135,2.4433,1.39036,0
0.2265,0.34268,-0.74787,2.35936,1.98121,0
2.54112,-1.64984,2.45297,1.95056,2.09098,0
1.79653,1.44234,-0.35256,5.27415,1.03004,1
-0.8049,3.03251,-0.15671,4.87948,2.16606,0
-0.32839,-2.38812,2.70965,0.53029,1.82481,1
-1.46658,-1.69843,-0.85357,1.96783,2.54273,0
-3.35263,-0.73555,-0.29722,1.45315,2.6081,0
3.43855,2.95509,1.81381,4.73054,2.47402,0
-3.4957,-3.35553,0.38224,2.16906,3.44371,1
0.03107,1.22283,0.75004,2.99518,3.55758,1
0.49112,2.48363,0.1529,1.46369,1.01814,1
-0.60982,-1.92796,-0.20525,3.46617,1.77973,0
-1.92543,-2.7456,-1.24221,5.81033,3.83129,1
3.38693,2.53675,-0.02653,3.62722,2.16785,0
3.16815,0.84833,-0.09045,2.67339,0.65252,0
3.2172,-1.31827,-0.04834,5.19433,4.44643,0
2.70852,-1.05688,-1.82587,4.72707,0.85005,0
1.73857,2.23667,-0.9749,4.67409,2.65244,1
3.02758,-0.24817,-1.49347,3.74753,2.30338,1
-2.89312,-0.84206,-1.28331,2.12974,2.3716,0
-1.7699,1.56258,-1.82261,2.62938,0.92067,0
-2.85804,-1.28845,-1.5683,2.95529,2.54399,0
0.32887,3.01663,1.77773,5.83484,0.48282,1
-1.01793,-2.05196,-2.00291,2.70726,2.28641,0
-3.42299,-1.56763,1.73722,5.96663,1.34919,1
-0.92521,-0.40768,0.06014,2.06491,3.12886,0
0.91622,-0.21037,-1.32061,3.66074,2.20553,1
1.9547,-0.42581,1.13828,1.40558,2.46919,0
-0.6408,0.83343,-1.79074,4.8802,0.60201,0
-0.26897,2.39085,-0.20103,2.70052,1.92813,0
-2.77698,3.48369,0.03331,5.01307,0.40184,0
-3.22474,2.01612,2.29048,3.34957,2.43557,0
2.75158,-0.74325,-0.0469,4.30314,1.48073,0
2.66444,-3.48541,0.40455,2.84892,1.09567,0
3.42979,-2.08314,1.55398,0.66233,1.81392,0
-1.50908,1.97972,-1.78208,4.91386,0.89565,0
-2.28965,0.593,0.55916,4.02897,1.00029,1
1.80047,-2.52402,1.13983,2.25273,3.19362,0
-2.93626,-3.31103,-0.02349,3.46075,0.62798,0
-0.7109,-1.64985,-1.00035,5.68678,1.77762,0
-0.84815,-1.21351,-1.6257,2.23389,2.23952,0
0.6926,-0.13966,0.40746,1.3545,0.4836,0
-1.18776,1.67797,0.67992,1.58342,2.80545,0
-1.53543,-0.3653,0.08502,1.42872,2.3655,0
2.27267,-0.35313,-1.31615,2.57784,1.81652,1
0.91176,3.18197,-0.96014,0.74725,2.5935,0
-1.06004,-1.93691,0.02995,2.44511,1.31058,0
1.10589,-3.24952,-2.29825,0.81569,1.81515,0
2.75852,0.7422,-2.77467,0.37397,2.11144,0
2.96741,-1.66778,-0.84201,3.01356,2.67302,0
1.74588,1.1095,-0.18949,0.64502,2.82076,1
0.30762,3.00552,2.03332,0.4165,3.97335,0
0.46631,3.046,0.23348,5.38951,2.27205,1
1.8667,2.15072,0.54089,5.07022,3.83177,1
-0.48526,1.22421,-1.01659,2.00081,2.33783,0
0.84039,0.41115,0.36194,5.30118,2.56372,1
-2.25246,-1.95816,0.2453,3.5821,2.61623,1
-0.94733,-3.17783,0.75746,2.7244,1.57479,1
0.91234,-2.73124,-1.50306,0.64567,1.29025,1
1.70774,1.46586,0.45262,4.32828,2.54118,1
3.00734,0.38168,0.21789,4.93079,1.1339,1
2.21387,1.06932,1.45023,0.29471,2.39843,1
-0.92798,-1.65291,-0.97888,0.72669,2.67997,0
3.34827,-2.99405,1.70039,5.77242,3.51931,1
-0.77926,-0.20962,0.38463,2.97555,2.81308,1
-1.07026,-2.8114,1.48647,1.1621,2.18295,0
1.84267,-1.29195,-0.35566,0.58924,0.19236,0
-0.1348,2.09026,-2.478,3.33932,-0.74476,0
-0.59768,-0.15776,0.66408,3.7977,3.89227,0
-2.48417,2.35722,-0.73516,3.95521,1.12436,0
-0.63542,-1.37337,-2.75964,3.43443,1.1699,0
-1.8622,1.77891,1.10222,1.25955,2.06296,0
-0.20852,2.4472,-2.31214,3.70591,2.21109,0
-0.39116,-0.33132,0.40176,4.28439,1.9623,0
-2.46613,2.36242,-0.3503,1.17388,3.33013,1
2.06842,2.85095,1.236,3.77372,1.54302,1
3.04153,0.49242,-0.52083,4.80926,3.51661,1
-3.13614,-1.47426,0.45766,2.34047,2.24177,0
-1.64501,-2.01599,0.08134,0.04796,3.43759,0
-2.82754,2.85167,0.1808,4.977,2.78928,1
-2.15381,-0.71439,-2.20246,0.21679,1.75,0
3.36256,-0.55039,-0.45503,1.39174,1.98837,1
-2.00402,2.36214,-1.27832,3.58168,4.56337,0
3.23833,0.94069,0.39498,3.5147,1.7478,0
0.99758,-1.99652,-1.22674,2.12596,2.93408,0
3.11815,1.22718,0.14408,4.70172,2.39594,1
-1.09929,-0.05924,-1.1628,2.93585,2.03461,1
0.63554,-2.58159,-1.76792,0.16302,2.89138,1
-0.13957,-0.76157,0.88616,4.75776,1.29283,1
0.66466,-1.88665,-2.87983,5.86415,4.09637,0
1.60608,-1.52244,-0.79294,3.02008,2.55219,0
-1.41339,3.45708,-2.53529,5.39024,2.10839,0
1.56292,-0.85115,-1.47086,5.71575,2.55928,1
-1.27317,2.28313,2.38363,5.95605,1.10619,1
-3.19469,0.30022,-0.66845,2.2482,2.98596,0
-1.69443,-2.68546,2.22621,0.06324,3.00117,1
0.10449,1.57828,-3.30114,2.81867,1.63394,1
0.22117,-3.27218,0.7889,3.55954,4.2091,0
-3.36372,0.89967,-0.35277,3.10495,3.22145,0
-3.12063,-2.94558,1.2981,2.99684,2.17268,1
-1.4077,0.46868,-0.43164,0.18139,0.36178,1
0.75778,3.03195,-0.01049,4.0037,2.42057,1
-1.11562,0.68467,-0.18928,2.69553,2.65761,1
-2.89481,-0.87265,0.36298,1.87838,1.57734,1
2.61563,1.69716,-0.98329,1.16959,2.51993,1
0.61941,1.22185,-2.24956,3.83226,1.54413,0
-2.51138,0.93227,-1.62261,3.04068,1.58039,0
-1.33872,-0.62798,0.30852,5.96685,1.65983,1
-2.15322,-0.24694,-0.18819,3.7356,1.24724,1
2.0095,1.64577,-0.14653,0.17167,1.4679,0
1.70346,-3.31396,0.87458,5.40764,2.06578,1
2.21294,-1.73074,1.6322,5.96657,1.22046,1
0.81025,3.01266,1.45926,5.34423,0.23108,1
1.61183,0.59373,3.00842,1.7732,2.60193,1
0.11198,2.6106,0.1032,3.68143,-0.85654,0
-0.93019,-2.60759,-1.57783,0.5272,1.94179,0
2.65245,2.40699,1.95732,2.85908,4.24049,1
-2.82827,3.28862,-2.08973,3.6981,1.38352,0
-1.53999,-0.05872,0.69006,5.06265,2.4692,1
-3.30748,0.71309,-0.63226,5.33785,1.12124,0
0.46488,-0.14384,-0.44922,0.47131,2.87572,0
1.47296,1.57291,0.80239,3.09645,0.64219,1
2.20471,-0.7171,-2.03208,5.21741,5.07192,0
-0.46801,-1.19388,0.11078,3.86672,2.51065,0
-2.01011,2.46017,0.62772,5.09351,-0.87454,1
1.18524,-2.66823,0.28689,1.59119,1.06917,0
1.8963,-2.20107,1.45915,1.60997,1.8985,0
-1.83095,0.83422,-1.92579,5.39272,3.5327,1
-1.5044,2.12252,-1.38072,4.83385,1.39951,0
0.02166,-1.53498,0.3663,3.08652,2.05901,0
2.38629,0.60493,3.19865,5.38012,1.7955,1
1.00271,-0.6196,-1.16918,2.30546,2.45502,0
-0.46812,0.84909,1.76732,2.30155,2.11807,1
1.50145,2.78499,-2.97482,1.75738,3.05572,1
2.18018,-2.48914,-0.05988,3.87077,1.22525,0
0.30541,-1.65765,2.18437,2.4739,1.75219,0
2.87988,-0.47949,-1.29721,3.37462,2.71654,0
3.19402,-1.80882,-1.26218,3.58624,2.41408,0
-1.82512,-0.27736,-2.00674,0.94554,1.96237,0
-2.13406,3.37813,-0.48958,5.64624,1.82981,0
-0.21158,-3.31222,1.17198,1.84814,2.77395,0
0.52863,0.43348,-1.30128,5.3504,1.82668,0
0.11499,-1.43174,-0.58367,0.96567,1.65159,0
-2.50282,0.23936,-1.46197,1.77401,1.08916,1
1.20151,2.92415,0.24395,5.4133,3.07745,0
1.83832,-0.30121,-0.30889,2.54021,2.57839,0
-3.08055,0.88563,1.21765,3.70336,2.15858,0
-0.87467,1.72892,-0.57651,2.3212,2.07862,1
2.39943,2.95938,2.12691,3.23629,2.60259,1
1.76074,1.04678,0.50797,3.78145,1.19877,1
2.2794,1.62358,-0.40992,1.17856,1.209,1
-0.02607,-2.96043,-0.62882,3.09099,2.288,0
-3.36168,2.32371,-0.09495,0.13826,1.5422,0
2.33759,-2.72125,1.77699,0.88314,2.20485,0
1.28952,-3.18957,0.27352,3.70265,2.18108,0
-0.20146,2.17883,1.47479,5.22023,2.52173,0
1.48985,1.08376,-2.57917,5.73258,1.46579,1
-2.08901,-2.32027,1.05493,2.80179,3.33922,0
2.00088,2.76775,2.12321,4.75711,3.18161,1
-2.88237,-1.61429,2.21556,5.47939,0.39888,0
0.2446,-0.82015,0.38989,1.15242,2.2067,0
-0.64996,2.93954,-0.01809,1.59795,2.67912,0
0.34057,-2.38663,-0.43576,1.35201,1.10286,0
0.1103,2.80082,0.1118,4.81144,2.0689,0
-2.61389,-0.20384,1.22845,0.23554,0.72487,0
2.85067,-2.55924,-1.3442,3.96733,0.25765,0
2.39441,0.35234,-0.56467,0.16754,2.02761,0
-0.94574,2.91177,-0.11645,4.73889,3.55387,0
0.06736,-2.98783,0.19499,4.81847,1.00429,0
2.92919,1.27026,-0.31839,5.92289,1.53885,0
2.92293,-0.47277,-0.5231,1.44723,0.93006,0
0.24745,2.63301,0.31321,3.40462,3.06992,0
-0.32171,-3.04848,-1.86766,4.44666,0.96505,0
3.29948,1.00177,-1.05207,2.07263,1.73316,1
-0.29358,0.29339,0.14311,2.14857,0.80438,0
-2.27296,-2.10128,-1.31664,4.93602,3.13904,0
-2.45845,2.01947,-0.34235,4.15145,1.7131,1
-0.24835,-0.15861,1.17277,0.83787,2.14919,0
1.30489,3.36121,-2.20877,1.37675,1.40122,1
3.25597,-2.50982,2.07434,5.14941,1.21809,1
3.27291,1.51915,0.76901,5.74831,1.74117,1
3.07887,-0.88675,-2.5405,1.02802,1.02161,0
0.57546,-1.48837,1.72788,3.03384,2.12406,1
-0.46633,1.92967,-0.09918,1.87582,2.29087,1
-1.29442,-0.44505,1.75765,0.23062,2.91257,1
0.33814,-2.33541,-0.43869,3.20602,1.09683,0
0.27053,-1.72947,-0.49599,3.05633,2.35977,0
2.21533,-1.82047,-0.58692,5.38174,0.93847,1
0.68614,-2.01563,1.30355,3.40215,3.7901,0
-0.04681,-3.18468,0.17929,5.42068,1.7171,1
-3.22717,2.41738,-0.5403,1.08222,1.6092,0
-2.36865,-0.62487,-1.22634,0.4901,0.12158,0
-0.77241,-0.87295,-0.75999,2.03002,2.35833,1
-1.86518,-2.48348,2.7656,5.98407,3.15658,1
0.64268,-2.92144,1.40537,1.98563,2.90653,0
1.54171,0.31536,-0.27205,5.34077,1.66625,1
2.79829,-2.89615,-0.53579,1.87889,0.53821,0
